,n_words,multiplicative_coeff,k,b
0,100,0.0,0.558696252536088,8.113389088957723
1,173,0.0,0.5371501984138736,8.114713563970016
2,247,0.0,0.7486631188488945,8.055840953961798
3,321,0.0,0.7569077847914081,8.045585861155487
4,394,0.0,0.6239896269767061,8.140544019437945
5,468,0.0,0.9156574537167376,7.993999939019551
6,542,0.0,0.8030012675506712,8.098720586785271
7,615,0.0,0.8924439638044607,8.009200962671173
8,689,0.0,0.8620867487278185,8.026797324299988
9,763,0.0,0.7421877377447861,8.081981708967481
10,836,0.0,0.8683549258272814,8.01588054867231
11,910,0.0,0.8931861083906228,7.997978065955363
12,984,0.0,0.7949049278921426,8.069830263293285
13,1057,0.0,0.9018530604311873,7.981396447878511
14,1131,0.0,0.7747774966914676,8.032638625282331
15,1205,0.0,0.8352852003376982,8.029494889965514
16,1278,0.0,0.8913211319315605,8.015167978162527
17,1352,0.0,0.7910589585134354,8.04946625652681
18,1426,0.0,0.747740368433769,8.082911383218168
19,1500,0.0,0.7596628824197795,8.062243763089324
20,100,0.2631578947368421,0.5583233887391547,8.11338933884482
21,173,0.2631578947368421,0.6276723165010317,8.081282246495
22,247,0.2631578947368421,0.7176776802556434,8.063272848991826
23,321,0.2631578947368421,0.7537585164677776,8.046000736191095
24,394,0.2631578947368421,0.6658488510715914,8.094161064299998
25,468,0.2631578947368421,0.7805476714763168,8.04014540826665
26,542,0.2631578947368421,0.7912397945356439,8.045883793031301
27,615,0.2631578947368421,0.8287959338547903,8.027027334431377
28,689,0.2631578947368421,0.867904775647529,8.009823066494796
29,763,0.2631578947368421,0.8512138332726474,8.006941907966821
30,836,0.2631578947368421,0.8524190368293668,8.012705345260079
31,910,0.2631578947368421,0.8553230677592283,8.015685853606753
32,984,0.2631578947368421,0.8276340106431858,8.035339304727046
33,1057,0.2631578947368421,0.8104482102907488,8.032662521245278
34,1131,0.2631578947368421,0.818030964397297,8.028864291707752
35,1205,0.2631578947368421,0.7847956503120516,8.05198808124068
36,1278,0.2631578947368421,0.8011213188202312,8.040211895724925
37,1352,0.2631578947368421,0.7926863408307347,8.048013351313141
38,1426,0.2631578947368421,0.7441234911052814,8.074750762411178
39,1500,0.2631578947368421,0.7481071846553966,8.063900332077683
40,100,0.5263157894736842,0.5883091902707667,8.098410466114627
41,173,0.5263157894736842,0.6272222885631911,8.07998414812784
42,247,0.5263157894736842,0.7332431323973915,8.052727888494903
43,321,0.5263157894736842,0.779903067830483,8.029846670666444
44,394,0.5263157894736842,0.6831623112667635,8.086549540471509
45,468,0.5263157894736842,0.7876484027927102,8.035979055594167
46,542,0.5263157894736842,0.8160969546925713,8.031771586997486
47,615,0.5263157894736842,0.8413096709000055,8.016963544825083
48,689,0.5263157894736842,0.8758061581392318,8.003941423855595
49,763,0.5263157894736842,0.8543314206477872,8.00628421734576
50,836,0.5263157894736842,0.8640922020689178,8.001287307531374
51,910,0.5263157894736842,0.8752143449078178,8.001769475373697
52,984,0.5263157894736842,0.8357190425464628,8.030625863022667
53,1057,0.5263157894736842,0.829999983204092,8.017107704361806
54,1131,0.5263157894736842,0.8446425750053775,8.015400748044016
55,1205,0.5263157894736842,0.790330739949163,8.048985464949318
56,1278,0.5263157894736842,0.8139116061932254,8.03528065526877
57,1352,0.5263157894736842,0.7898930773395795,8.05157924186063
58,1426,0.5263157894736842,0.7607032714270652,8.067262856699358
59,1500,0.5263157894736842,0.7667190622127158,8.055829108175951
60,100,0.7894736842105263,0.5728695106409526,8.102513573374699
61,173,0.7894736842105263,0.615599334934452,8.0816068579346
62,247,0.7894736842105263,0.7421826734338265,8.04572179924891
63,321,0.7894736842105263,0.7694291076389569,8.035731893786727
64,394,0.7894736842105263,0.6851266240347111,8.07993901439979
65,468,0.7894736842105263,0.7808443930352807,8.036643898778728
66,542,0.7894736842105263,0.8136392137862781,8.031701541134849
67,615,0.7894736842105263,0.8369816940763722,8.013465357588034
68,689,0.7894736842105263,0.8771546155234308,8.002765971842939
69,763,0.7894736842105263,0.8511172556970121,8.005317435036442
70,836,0.7894736842105263,0.8653483768611088,7.998399584100347
71,910,0.7894736842105263,0.8808226089457846,7.998794615462008
72,984,0.7894736842105263,0.8401501980909555,8.023508173661535
73,1057,0.7894736842105263,0.8289409687155865,8.019465457118146
74,1131,0.7894736842105263,0.8373174636960947,8.015584504952876
75,1205,0.7894736842105263,0.7891038290097642,8.041096776892422
76,1278,0.7894736842105263,0.8217935606749808,8.025366413267422
77,1352,0.7894736842105263,0.7855481512888276,8.052836462224857
78,1426,0.7894736842105263,0.7648068377149924,8.05975221580113
79,1500,0.7894736842105263,0.7770783624481793,8.050287141563684
80,100,1.0526315789473684,0.5900327538508191,8.09212863540465
81,173,1.0526315789473684,0.631367003815914,8.07245353830064
82,247,1.0526315789473684,0.7477511588181888,8.042521394515779
83,321,1.0526315789473684,0.777694078398996,8.027683816564553
84,394,1.0526315789473684,0.6897201379460474,8.077676037043625
85,468,1.0526315789473684,0.8058728452117951,8.023167221125325
86,542,1.0526315789473684,0.8170604125262927,8.027909074389077
87,615,1.0526315789473684,0.8475047079750277,8.010383071847903
88,689,1.0526315789473684,0.872634679340309,8.004835447230802
89,763,1.0526315789473684,0.852883397346075,8.004161817705347
90,836,1.0526315789473684,0.8746242382001526,7.995734193454341
91,910,1.0526315789473684,0.866328563179445,8.004387708056042
92,984,1.0526315789473684,0.8508736454643979,8.01896054950496
93,1057,1.0526315789473684,0.84067620263865,8.010465424332573
94,1131,1.0526315789473684,0.8468703285539506,8.007882083507166
95,1205,1.0526315789473684,0.8054779884049196,8.035056292029482
96,1278,1.0526315789473684,0.8135148582981294,8.029880838913748
97,1352,1.0526315789473684,0.8069118834499561,8.040570101953923
98,1426,1.0526315789473684,0.7622103397613705,8.061421138538343
99,1500,1.0526315789473684,0.7800758801588665,8.045350687643714
100,100,1.3157894736842104,0.5997291987727901,8.084992360309199
101,173,1.3157894736842104,0.6333810437132434,8.068407419231459
102,247,1.3157894736842104,0.7449766714930157,8.044071256938775
