pos_k,newbies_ratio,neg_k,mean_score
1.0,1.0,2.0,9.186819077289595
1.0,1.0,4.0,9.229218472468917
1.0,1.0,6.0,9.071061560833737
1.0,1.0,8.0,8.928321678321678
1.0,1.5,2.0,9.186819077289595
1.0,1.5,4.0,9.229218472468917
1.0,1.5,6.0,9.071061560833737
1.0,1.5,8.0,8.928321678321678
1.0,2.0,2.0,9.186819077289595
1.0,2.0,4.0,9.229218472468917
1.0,2.0,6.0,9.071061560833737
1.0,2.0,8.0,8.928321678321678
1.0,2.5,2.0,9.186819077289595
1.0,2.5,4.0,9.229218472468917
1.0,2.5,6.0,9.071061560833737
1.0,2.5,8.0,8.928321678321678
1.0,3.0,2.0,9.186819077289595
1.0,3.0,4.0,9.229218472468917
1.0,3.0,6.0,9.071061560833737
1.0,3.0,8.0,8.928321678321678
1.3333333333333333,1.0,2.0,9.186819077289595
1.3333333333333333,1.0,4.0,9.229218472468917
1.3333333333333333,1.0,6.0,9.071061560833737
1.3333333333333333,1.0,8.0,8.928321678321678
1.3333333333333333,1.5,2.0,9.186819077289595
1.3333333333333333,1.5,4.0,9.229218472468917
1.3333333333333333,1.5,6.0,9.071061560833737
1.3333333333333333,1.5,8.0,8.928321678321678
1.3333333333333333,2.0,2.0,9.186819077289595
1.3333333333333333,2.0,4.0,9.229218472468917
1.3333333333333333,2.0,6.0,9.071061560833737
1.3333333333333333,2.0,8.0,8.928321678321678
1.3333333333333333,2.5,2.0,9.186819077289595
1.3333333333333333,2.5,4.0,9.229218472468917
1.3333333333333333,2.5,6.0,9.071061560833737
1.3333333333333333,2.5,8.0,8.928321678321678
1.3333333333333333,3.0,2.0,9.186819077289595
1.3333333333333333,3.0,4.0,9.229218472468917
1.3333333333333333,3.0,6.0,9.071061560833737
1.3333333333333333,3.0,8.0,8.928321678321678
1.6666666666666665,1.0,2.0,9.18243650258485
1.6666666666666665,1.0,4.0,9.215337349397588
1.6666666666666665,1.0,6.0,9.060255281690141
1.6666666666666665,1.0,8.0,8.93128507295174
1.6666666666666665,1.5,2.0,9.18243650258485
1.6666666666666665,1.5,4.0,9.215337349397588
1.6666666666666665,1.5,6.0,9.060255281690141
1.6666666666666665,1.5,8.0,8.93128507295174
1.6666666666666665,2.0,2.0,9.18243650258485
1.6666666666666665,2.0,4.0,9.215337349397588
1.6666666666666665,2.0,6.0,9.060255281690141
